keyword,volume,global_volume,difficulty,cpc_usd,clicks,traffic_potential,parent_topic,is_seed,commercial_intent
str meaning,2400,5000,0,0.0,779,300,str meaning,False,0
airbnb listing,1300,3100,42,5.0,791,1500,airbnb listing,False,0
management company,1200,3000,65,2.5,450,500,property managements,False,0
vrbo airbnb,1000,1200,79,0.05,832,1420000,vrbo,False,0
airbnb management,800,5000,29,4.0,1028,7000,airbnb property management,False,0
historical data,700,2400,26,1.4,202,2100,historical stock prices,False,0
boost sales,450,2200,17,4.0,178,100,boost sales,False,0
vacasa llc,250,250,21,3.5,90,73000,vacasa,False,0
read article,250,900,59,1.2,161,14000,articles,False,0
can help,200,400,5,0.35,96,30,can help,False,0
luxury vacation rental management,200,250,68,6.0,0,11000,wander,False,0
vacation rentals property management,200,350,77,1.1,0,71000,vacasa,False,0
short let management,150,700,1,0.0,0,0,vacation rental property management,False,0
vrbo rental estimate,150,150,2,2.0,0,350,vrbo rental estimate,False,0
how to price your vacation rental,150,200,3,0.0,0,1600,vacation rental pricing strategy,False,0
holiday let management,150,700,7,0.0,0,9200,vacation rental management,False,0
vacation rental industry,150,250,14,1.1,0,400,vacation rental market,False,0
does vrbo charge right away,150,200,20,0.0,0,350,when does vrbo charge your card,False,0
informed decisions,150,600,21,0.1,77,20,informed decision,False,0
airdna rental calculator,150,200,27,0.7,0,14000,airbnb calculator,False,0
what is smart pricing on airbnb,100,200,0,6.0,0,1200,airbnb smart pricing,False,0
rentdna,100,100,43,1.4,0,54000,airdna,False,0
day week,100,900,50,0.0,0,2000,weekdays,False,0
business grow,100,900,59,2.5,0,150,mark schaefer,False,0
holiday house management,100,450,69,0.0,0,72000,vacasa,False,0
vacation rental solutions,100,100,79,4.0,0,15000,evolve vacation rental,False,0
book consultation,90,300,0,2.0,0,0,book a consultation,False,0
costa rica market,80,150,1,0.25,0,70,costa rica market,False,0
open investment,80,250,57,6.0,0,3000,fidelity accounts,False,0
vacation rental kpis,70,150,0,0.0,0,0,,False,0
best vacation rental,70,100,83,1.6,0,797000,vrbo,False,0
airbnb coach,60,100,0,1.8,0,40,airbnb coach,False,0
manage airbnb,60,150,44,4.5,0,7000,airbnb property management,False,0
airbnb vacation,50,100,0,0.25,0,6410000,airbnb,False,0
vrbo listing fees,50,80,15,6.0,0,1400,vrbo fees,False,0
airbnb fees explained,50,70,46,3.5,0,3200,airbnb service fee,False,0
holiday home management companies,50,600,54,0.0,0,7900,vacation rental management,False,0
per night,50,500,57,0.0,37,97000,hotel tonight,False,0
vrbo owner fees,40,50,35,7.0,36,1700,vrbo fees,False,0
prop.management,40,40,67,6.0,0,60,portland property management,False,0
centered around,30,80,0,0.0,22,20,centered around,False,0
equity partnerships,30,70,0,0.0,0,10,equity partnerships,False,0
vrbo hidden fees,30,30,2,0.0,0,10,vrbo hidden fees,False,0
rental home management companies near me,30,40,18,4.5,0,5800,renters warehouse,False,0
term rental,30,50,22,1.0,0,28000,short term rentals near me,False,0
vrbo rental fees,30,30,33,0.4,0,1800,vrbo fees,False,0
vrbo costs,30,40,41,2.5,0,1500,vrbo fees,False,0
airbnb accounts,30,50,46,0.0,0,65000,airbnb login,False,0
propety management,30,100,68,0.0,0,1700,property management,False,0
beyond websites,30,30,82,0.0,0,10,beyond websites,False,0
changing market conditions,20,60,7,0.0,0,20,adapting to market changes,False,0
do you pay vrbo up front,20,20,8,0.0,0,60,does vrbo charge right away,False,0
vrbo do you pay upfront,20,30,25,0.0,0,50,does vrbo charge right away,False,0
vrbo costs for owners,20,30,26,5.0,0,1500,vrbo fees,False,0
vrbo management fees,20,50,35,3.0,0,1500,vrbo fees,False,0
vrbo percentage,20,20,36,2.5,0,1800,vrbo fees,False,0
insights market,20,250,49,0.0,0,30,insight market research,False,0
property manament,20,20,80,0.0,0,13000,property management,False,0
beyond �������,20,20,82,0.0,0,7100,beyond,False,0
company started,10,20,0,0.0,0,0,,False,0
matt frederickson,10,10,0,0.0,0,0,,False,0
how to change pricing on vrbo,10,10,0,0.0,0,100,vrbo discount,False,0
how to change price on vrbo,10,10,0,0.0,0,100,vrbo discount,False,0
vacasa vacation homes,10,10,8,1.5,0,73000,vacasa,False,0
property managemenr,10,20,78,0.0,0,13000,property management,False,0
management guide,20,100,16,1.5,0,20,management study guide,False,-1
start free,30,150,76,0.0,0,20,domo website,False,-2
